Brand_URL,Brand_Name,Brand_Rating,Brand_Summary
https://directory.goodonyou.eco/brand/underprotection,Underprotection,Overall rating: Good,"Underprotection is a Danish brand based in Copenhagen with the purpose of creating underwear styles that make you feel fabulous, loungewear you want to wear all week and swimwear that makes you dream about vacation and summer."
https://directory.goodonyou.eco/brand/a-c,A_C,Overall rating: Good,"A_C is a cruelty-free, vegan accessories brand, intent on producing products that cause no harm."
https://directory.goodonyou.eco/brand/futura,FUTURA Jewelry,Overall rating: Great,Handcrafted luxury jewellery made with 18kt Fairmined Ecological Gold.
https://directory.goodonyou.eco/brand/tasi-travels,Tasi Travels,Overall rating: Good,Tasi Travels is a slow fashion brand that believes in travelling through life with fewer pieces that are more versatile.
https://directory.goodonyou.eco/brand/isto,ISTO.,Overall rating: Good,ISTO. is a luxury brand that offers essentials at affordable prices.
https://directory.goodonyou.eco/brand/the-nude-label,The Nude Label,Overall rating: Good,"The Nude Label curates comfy vegan underwear, swimwear, and sandals that feel as good as they look."
https://directory.goodonyou.eco/brand/citizen-wolf,Citizen Wolf,Overall rating: Great,Ethically made to measure T-shirts from Sydney: Choose style. Pick fabric. Add tailoring via Magic Fit. Ready in 10 days.
https://directory.goodonyou.eco/brand/nikin,NIKIN,Overall rating: Good,NIKIN is a Swiss-based clothing brand that offers swimwear and casual wear.
https://directory.goodonyou.eco/brand/o-my-bag,O My Bag,Overall rating: Good,O My Bag is a Dutch based brand that makes leather bags and accessories to create positive change for people and the planet.
https://directory.goodonyou.eco/brand/triarchy,Triarchy,Overall rating: Great,Triarchy is a brand that creates modern denim pieces using tencel and cotton blends.
https://directory.goodonyou.eco/brand/boyish,Boyish,Overall rating: Great,"Boyish is a sustainable women's denim line focused on quality, fit, and authentic washes with a laid-back California feel."
https://directory.goodonyou.eco/brand/swedish-stockings,Swedish Stockings,Overall rating: Great,"Swedish Stockings creates good quality black and patterned stockings, knee highs, tights, socks and pantyhose for all women."
https://directory.goodonyou.eco/brand/parker-clay,Parker Clay,Overall rating: Good,Parker Clay sells handcrafted goods made in Ethiopia using premium material
https://directory.goodonyou.eco/brand/dedicated,Dedicated,Overall rating: Great,A conscious sustainable streetwear brand from Sweden dedicated to doing good.
https://directory.goodonyou.eco/brand/337-brand,337 BRAND,Overall rating: Good,"337 BRAND's leisurewear is designed to make you feel at ease, always."
https://directory.goodonyou.eco/brand/tamga-designs,TAMGA Designs,Overall rating: Great,TAMGA Designs is brand that seeks to discover colorful and sustainable fashion with people and planet in mind.
https://directory.goodonyou.eco/brand/christy-dawn,Christy Dawn,Overall rating: Great,"Christy Dawn designs dresses and accessories inspired by vintage clothing, using only deadstock fabric."
https://directory.goodonyou.eco/brand/baukjen,Baukjen,Overall rating: Good,"Baukjen designs for good, featuring ethically and socially conscious style for the future."
https://directory.goodonyou.eco/brand/wama,WAMA,Overall rating: Good,WAMA is pioneering the Hemp Clothing industry with Premium Hemp Underwear.
https://directory.goodonyou.eco/brand/groundtruth,GROUNDTRUTH,Overall rating: Good,"GROUNDTRUTH believes in people, planet, and performance."
https://directory.goodonyou.eco/brand/mara-hoffman,Mara Hoffman,Overall rating: Good,"Mara Hoffman presents collections with a devotion to color, each inspired by and in celebration of women."
https://directory.goodonyou.eco/brand/kent,KENT,Overall rating: Great,"KENT creates timeless organic underwear for women, ensuring a quality fit and feel no matter what."
https://directory.goodonyou.eco/brand/good-guys,Good Guys,Overall rating: Good,Good Guys was founded in 2011 by Marion Hanania as a vegan footwear brand from Paris.
